idx,Country,Hip hop/Rap/R&b,EDM,Pop,Rock/Metal,Latin/Reggaeton,Other,Top_Genre,Top_Genre_Value,Standard_Country,ISO_Code,Top_Genre_Score
0,australia,31,15.0,65,17.0,0.0,8,Pop,65.0,Australia,36,65.0
1,canada,39,12.0,64,14.0,0.0,10,Pop,64.0,Canada,124,64.0
2,china,11,23.0,108,4.0,0.0,21,Pop,108.0,China,156,108.0
3,india,25,1.0,39,0.0,0.0,55,Other,55.0,India,356,55.0
4,mexico,38,0.0,18,2.0,57.0,43,Latin/Reggaeton,57.0,Mexico,484,57.0
5,russia,27,9.0,48,9.0,2.0,9,Pop,48.0,Russia,643,48.0
6,usa,49,2.0,33,13.0,19.0,11,Hip hop/Rap/R&b,49.0,United States,840,49.0
7,colombia,50,0.0,22,0.0,86.0,3,Latin/Reggaeton,86.0,Colombia,170,86.0
8,france,47,6.0,50,7.0,1.0,22,Pop,50.0,France,250,50.0
9,italy,47,7.0,35,2.0,0.0,9,Hip hop/Rap/R&b,47.0,Italy,380,47.0
10,japan,0,1.0,63,16.0,0.0,17,Pop,63.0,Japan,392,63.0
11,philippines,21,0.0,35,3.0,0.0,19,Pop,35.0,Philippines,608,35.0
12,spain,54,0.0,22,0.0,38.0,18,Hip hop/Rap/R&b,54.0,Spain,724,54.0
13,united_kingdom,30,25.0,71,17.0,0.0,11,Pop,71.0,United Kingdom,826,71.0
14,puerto_rico,158,1.0,40,0.0,219.0,14,Latin/Reggaeton,219.0,Puerto Rico,630,219.0
15,argentina,59,0.0,29,0.0,32.0,8,Hip hop/Rap/R&b,59.0,Argentina,32,59.0
16,germany,41,18.0,33,3.0,2.0,12,Hip hop/Rap/R&b,41.0,Germany,276,41.0
17,israel,11,0.0,25,5.0,0.0,8,Pop,25.0,Israel,376,25.0
18,paraguay,55,0.0,22,0.0,66.0,6,Latin/Reggaeton,66.0,Paraguay,500,66.0
19,argentina,59,0.0,29,0.0,32.0,8,Hip hop/Rap/R&b,59.0,Argentina,32,59.0
20,germany,41,18.0,33,3.0,2.0,12,Hip hop/Rap/R&b,41.0,Germany,276,41.0
21,israel,11,0.0,25,5.0,0.0,8,Pop,25.0,Israel,376,25.0
22,paraguay,55,0.0,22,0.0,66.0,6,Latin/Reggaeton,66.0,Paraguay,500,66.0
23,south_korea,11,0.0,35,1.0,0.0,1,Pop,35.0,South Korea,410,35.0
24,taiwan,3,0.0,60,2.0,0.0,21,Pop,60.0,Taiwan,158,60.0
25,ukraine,23,0.0,26,8.0,0.0,15,Pop,26.0,Ukraine,804,26.0
26,chile,46,0.0,14,0.0,46.0,31,Hip hop/Rap/R&b,46.0,Chile,152,46.0
27,dominican_republic,53,0.0,13,0.0,83.0,5,Latin/Reggaeton,83.0,Dominican Republic,214,83.0
28,indonesia,5,0.0,32,0.0,0.0,19,Pop,32.0,Indonesia,360,32.0
29,peru,52,0.0,25,2.0,72.0,8,Latin/Reggaeton,72.0,Peru,604,72.0
30,thailand,7,0.0,38,4.0,0.0,1,Pop,38.0,Thailand,764,38.0
31,turkey,26,0.0,8,2.0,0.0,7,Hip hop/Rap/R&b,26.0,Turkey,792,26.0
32,venezuela,45,0.0,25,0.0,63.0,6,Latin/Reggaeton,63.0,Venezuela,862,63.0
33,denmark,16,8.0,36,7.0,0.0,5,Pop,36.0,Denmark,208,36.0
34,egypt,52,0.0,26,5.0,0.0,6,Hip hop/Rap/R&b,52.0,Egypt,818,52.0
35,hong_kong,2,0.0,74,1.0,0.0,4,Pop,74.0,Hong Kong,344,74.0
36,ireland,24,31.0,79,9.0,0.0,10,Pop,79.0,Ireland,372,79.0
37,morocco,52,1.0,40,2.0,0.0,16,Hip hop/Rap/R&b,52.0,Morocco,504,52.0
38,netherlands,13,39.0,63,7.0,0.0,12,Pop,63.0,Netherlands,528,63.0
39,norway,13,18.0,44,5.0,0.0,12,Pop,44.0,Norway,578,44.0
40,portugal,13,7.0,28,4.0,0.0,46,Other,46.0,Portugal,620,46.0
41,vietnam,19,0.0,35,2.0,0.0,19,Pop,35.0,Vietnam,704,35.0
42,bolivia,51,0.0,29,2.0,72.0,8,Latin/Reggaeton,72.0,Bolivia,68,72.0
43,bulgaria,30,7.0,52,17.0,0.0,20,Pop,52.0,Bulgaria,100,52.0
44,costa_rica,51,0.0,25,2.0,77.0,9,Latin/Reggaeton,77.0,Costa Rica,188,77.0
45,ecuador,51,0.0,23,0.0,82.0,3,Latin/Reggaeton,82.0,Ecuador,218,82.0
46,el_salvador,51,0.0,17,0.0,81.0,7,Latin/Reggaeton,81.0,El Salvador,222,81.0
47,greece,47,0.0,10,0.0,0.0,10,Hip hop/Rap/R&b,47.0,Greece,300,47.0
48,guatemala,42,0.0,17,0.0,71.0,24,Latin/Reggaeton,71.0,Guatemala,320,71.0
49,honduras,50,0.0,17,0.0,86.0,7,Latin/Reggaeton,86.0,Honduras,340,86.0
50,malaysia,9,2.0,59,3.0,0.0,12,Pop,59.0,Malaysia,458,59.0
51,panama,50,0.0,20,0.0,73.0,4,Latin/Reggaeton,73.0,Panama,591,73.0
52,poland,38,9.0,21,6.0,0.0,5,Hip hop/Rap/R&b,38.0,Poland,616,38.0
53,sweden,31,17.0,61,4.0,0.0,10,Pop,61.0,Sweden,752,61.0
54,austria,28,17.0,28,6.0,2.0,12,Hip hop/Rap/R&b,28.0,Austria,40,28.0
55,finland,27,5.0,53,7.0,0.0,4,Pop,53.0,Finland,246,53.0
56,hungary,18,21.0,33,9.0,2.0,8,Pop,33.0,Hungary,348,33.0
57,iceland,22,4.0,47,11.0,2.0,38,Pop,47.0,Iceland,352,47.0
58,lithuania,22,18.0,41,11.0,0.0,12,Pop,41.0,Lithuania,440,41.0
59,new_zealand,44,4.0,48,20.0,0.0,10,Pop,48.0,New Zealand,554,48.0
60,nicaragua,51,0.0,15,0.0,83.0,7,Latin/Reggaeton,83.0,Nicaragua,558,83.0
61,romania,8,7.0,18,4.0,0.0,4,Pop,18.0,Romania,642,18.0
62,singapore,12,3.0,60,4.0,0.0,9,Pop,60.0,Singapore,702,60.0
63,south_africa,46,4.0,59,4.0,0.0,21,Pop,59.0,South Africa,710,59.0
64,switzerland,39,25.0,59,6.0,2.0,13,Pop,59.0,Switzerland,756,59.0
65,uruguay,50,0.0,30,0.0,32.0,5,Hip hop/Rap/R&b,50.0,Uruguay,858,50.0
66,czech_republic,42,21.0,36,17.0,2.0,9,Hip hop/Rap/R&b,42.0,Czechia,203,42.0
67,indonesia,2,0.0,27,0.0,0.0,21,Pop,27.0,Indonesia,360,27.0
68,mongolia,108,0.0,113,16.0,0.0,17,Pop,113.0,Mongolia,496,113.0
69,pakistan,32,1.0,39,1.0,0.0,28,Pop,39.0,Pakistan,586,39.0
70,philippines,24,2.0,37,0.0,0.0,23,Pop,37.0,Philippines,608,37.0
71,saudi_arabia,11,7.0,57,12.0,0.0,19,Pop,57.0,Saudi Arabia,682,57.0
72,brazil,9,0.0,20,2.0,0.0,78,Other,78.0,Brazil,76,78.0
